slug,name,category,frequency,description,rationale,sort_order
compression_garments,Compression garments,compression,daily,"Flat-knit compression wear on lipedema limbs — worn through waking hours. Class II (20-30 mmHg) typical; custom fit preferred over off-the-shelf.","Counteracts interstitial fluid buildup; reduces pain and swelling; slows progression of tissue changes.",10
mld_massage,Manual Lymphatic Drainage (MLD),manual_therapy,weekly,"Specialised gentle-pressure massage following lymphatic pathways. Practitioner session weekly; self-MLD daily if trained.","Mechanically moves lymph past obstructed/insufficient drainage pathways; reduces pain and fluid retention.",20
dry_brushing,Dry skin brushing,manual_therapy,daily,"Soft natural-bristle brush in lymphatic directions (toward heart) for 3-5 minutes before shower.","Cheap daily adjunct to MLD; stimulates superficial lymphatic flow.",30
swimming,Swimming / water walking,movement,weekly,"Pool-based movement 2-3x/week. Water pressure acts as whole-body compression.","Low-impact; hydrostatic pressure aids lymphatic return; avoids inflammation from impact.",40
walking,Walking,movement,daily,"30-60 min daily at conversational pace. Break into short walks if needed.","Calf muscle pump drives venous/lymphatic return; daily consistent low dose > occasional intensity.",50
rebounding,Rebounding (mini-trampoline),movement,daily,"5-15 min gentle bouncing, feet may stay in contact with mat. Not jumping.","Rhythmic gravity shifts strongly pump lymphatics; low-impact if gentle.",60
cycling,Cycling (stationary preferred),movement,weekly,"Low-resistance cycling; stationary bike minimizes ankle/knee impact.","Leg pump without ground impact; good option when walking aggravates.",70
avoid_heavy_impact,Avoid high-impact exercise,movement,daily,"Skip running, HIIT jumping, heavy plyometrics on affected limbs.","High impact aggravates inflamed adipose and lymphatic tissue; worsens symptoms in most patients.",80
sleep_hygiene,Sleep hygiene,sleep,daily,"7-9 hours consistent schedule. Cool dark room. No screens for 1 hour before bed. Elevate legs if swelling overnight.","Lymphatic clearance via glymphatic system peaks during deep sleep; insufficient sleep increases systemic inflammation.",90
leg_elevation,Leg elevation,sleep,daily,"Elevate legs 15-30 cm during sleep or rest periods — wedge pillow or bed risers at foot end.","Gravity assists venous and lymphatic return overnight; reduces morning swelling.",100
stress_management,Stress management practice,stress,daily,"Choose one: meditation, breathwork, yoga, journaling. 10-20 min daily consistency over intensity.","Chronic cortisol elevation drives inflammation, fluid retention, and insulin dysregulation — all RAD symptom amplifiers.",110
vagal_breathing,Diaphragmatic / vagal breathing,stress,daily,"5-10 min slow 4-7-8 or box breathing. Can pair with MLD or leg elevation.","Activates parasympathetic state; deep diaphragm movement also directly massages thoracic duct (main lymphatic return).",120
