slug,name,tier,dose,rationale,evidence_grade,food_equivalent,nepal_sourcing,notes,sort_order
pink_salt_morning,Himalayan pink salt in morning water,core,1/4 tsp in 500 ml water on waking,"Fastest-acting electrolyte top-up on keto. Blunts keto-flu headache / fatigue / brain-fog caused by sodium + water dump during glycogen depletion.",A,"Sea salt is equivalent; food-only covers <1/3 of keto sodium need",local,"Widely available in Nepal; also doubles as morning hydration cue",10
sodium_daily,Total daily sodium,core,3000-5000 mg/day,"Keto excretes sodium 40-50% faster than carb diets. Under 3 g/day is the single most common cause of persistent keto flu.",A,"~1.5 tsp table salt/day on top of food salting",local,"Salt liberally; add bone broth; use pink salt water as a second dose before workouts",20
potassium_daily,Potassium (food-first + supplement if low),core,3500-4700 mg/day,"Cramps, palpitations, constipation all track with low K on keto. Avocado (~700 mg), spinach (~500 mg/serve) do most of the lifting.",A,"Avocado + leafy greens + salmon + mushrooms",mixed,"Potassium chloride (NoSalt/LoSalt) useful top-up; max 1000 mg/dose to avoid GI upset. Stocked patchily in Nepal pharmacies",30
magnesium_glycinate,Magnesium glycinate,core,300-400 mg elemental daily (bedtime),"Calming form; supports sleep, muscle cramps, insulin sensitivity. Keto depletes Mg faster than standard diets.",A,"Leafy greens + seeds (contributory, not sufficient at keto losses)",import,"Import typical via iHerb; glycinate rarely stocked locally",40
magnesium_citrate,Magnesium citrate,core,300-400 mg elemental daily,"Acceptable alternative to glycinate; mildly laxative which helps the constipation many keto users get.",A,"Same as glycinate",local,"More commonly stocked locally than glycinate; split AM/PM if it loosens stools",50
vitamin_d3,Vitamin D3,core,2000-5000 IU daily with fat,"Near-universal deficiency in lipedema patients; also supports insulin sensitivity and hormonal function on keto.",B,"Oily fish + sun (not at therapeutic dose)",local,"Pair with K2 MK-7 100 mcg. Take with fattiest meal of day.",60
vitamin_k2,Vitamin K2 (MK-7),core,100 mcg daily with D3,"Directs calcium to bones away from arteries. Mandatory companion for long-term high-dose D3.",B,"Natto / hard aged cheese (limited)",import,"Import via iHerb; usually combined with D3",70
omega_3,Omega-3 fish oil (EPA+DHA),core,2-3 g combined EPA+DHA daily,"Anti-inflammatory. Keto-for-lipedema reviews emphasize omega-3 loading to counter residual arachidonic / pro-inflammatory signalling.",A,"Sardines / salmon / mackerel 2-3x/week",import,"Check third-party purity (heavy metals); prefer re-esterified TG form over ethyl ester",80
b_complex,B-complex (methylated),core,Label dose daily,"Energy metabolism + red blood cells + nervous system. Thiamine and B5 demand rises on keto; B12 needs rise if red meat intake is moderated.",B,"Organ meats + eggs + fatty fish (partial)",import,"Look for methyl-folate + methylcobalamin forms; cheap synthetic B-complex is common locally but less absorbed",90
mct_oil,MCT oil (C8 preferred),optional,1 tsp up to 1 tbsp per serving,"Speeds ketone production; useful for fat-adaptation phase and for a pre-workout ketone bump. C8 (caprylic) raises BHB fastest.",B,"Coconut oil is ~50% MCTs but much slower and weaker",import,"Start low - GI upset is dose-dependent; brands vary widely, pure C8 is import-only",100
exogenous_ketones,Exogenous ketones (BHB salts / esters),optional,Per label; event-based use only,"Transient BHB boost. Does NOT substitute for dietary ketosis — the insulin-lowering mechanism requires carb restriction.",C,"None",import,"Expensive, rarely warranted; consider for travel days only",110
berberine,Berberine,optional,500 mg 2-3x daily with meals,"AMPK activator; improves insulin sensitivity. Useful when keto alone isn't fully reversing fasting glucose/insulin.",B,"None",import,"Mild GI effects; don't combine with metformin without medical guidance",120
creatine_mono,Creatine monohydrate,optional,5 g daily,"Low-carb + resistance training context: preserves strength and neurological function during glycogen depletion.",A,"Red meat / fish (1-2 g/day max from food)",local,"Local supplement shops stock it cheaply; flavourless powder fine",130
electrolyte_mix,Packaged keto electrolyte mix,optional,Per label,"Alternative to compounding Na/K/Mg separately; convenient but expensive per dose.",C,"DIY ~= 1/4 tsp salt + 300 mg K chloride + 300 mg Mg",import,"LMNT / Redmond Re-Lyte popular brands - import only",140
zinc,Zinc picolinate,optional,15-30 mg daily,"Supports immunity, testosterone, insulin signaling. Monitor copper balance long-term.",C,"Oysters / red meat / pumpkin seeds",local,"Widely available; take separate from calcium / high-fibre meals",150
psyllium_husk,Psyllium husk (or ground flax),optional,5-10 g daily,"Soluble fiber for the constipation many see in weeks 1-4. Also blunts any glucose spike from borderline foods.",B,"Flax + chia (seed-only sources work similarly)",local,"Sathi/ihalal brands available; take with plenty of water or causes worse constipation",160
