category,food,status,notes
proteins,eggs,yes,
proteins,salmon,yes,
proteins,mackerel,yes,
proteins,sardines,yes,
proteins,basa fish,yes,
proteins,other fatty fish,yes,
proteins,white fish,yes,
proteins,tuna (canned in water),yes,zero carbs - lean protein
proteins,turkey (lean cuts),yes,zero carbs - breast meat preferred
proteins,shrimp,yes,zero carbs - excellent lean protein
proteins,duck,yes,zero carbs - lean when skinless
proteins,grouper,yes,zero carbs - lean white fish
proteins,tilapia,yes,zero carbs - lean white fish
proteins,buffalo/buff meat,yes,leaner than beef - excellent keto staple; A2 source for paneer/ghee too
proteins,goat / chevon (lean cuts),yes,practical Nepal red-meat choice; keto-for-lipedema literature permits lean red meat in moderation
proteins,lamb (lean cuts),yes,zero carbs - lean cuts
proteins,beef (lean cuts),yes,lean cuts preferred (sirloin / round); grass-fed where available. Diverges from Herbst baseline - see rad.md.
proteins,pork (lean cuts),yes,loin or tenderloin only; cured/processed pork (bacon/ham) cautioned due to nitrates and added sugar
proteins,chicken and poultry,yes,
proteins,homemade buffalo milk paneer,yes,
proteins,pea-brown rice protein powder,yes,
proteins,tempeh,yes,small portions
proteins,tofu and tofu skins,caution,low carb but monitor soy response
proteins,whey protein,caution,use until replaced - sucralose sweetened
proteins,clean bratwurst,caution,occasionally - contains sodium nitrate
proteins,processed meats with fillers or sugars,no,
dairy,butter (local),yes,
dairy,heavy cream,yes,
dairy,hard aged cheeses,yes,
dairy,yak cheese,yes,naturally A2
dairy,full fat buffalo milk yoghurt,yes,100g max per serving
dairy,buffalo milk kefir,yes,small portions
dairy,homemade buffalo milk paneer,yes,
dairy,cottage cheese,yes,~2.7g carbs per 100g - moderate portions
dairy,cream cheese,yes,
dairy,brie and camembert,yes,
dairy,milk as a drink,no,too much lactose
dairy,low fat dairy anything,no,
dairy,flavored yoghurts with added sugar,no,
dairy,condensed or evaporated milk,no,
fats_and_oils,olive oil,yes,
fats_and_oils,avocado oil,yes,
fats_and_oils,butter,yes,
fats_and_oils,coconut oil,yes,
fats_and_oils,coconut milk (full fat),yes,Thai curries - ~3.3g net carbs per 100ml - watch total
fats_and_oils,fresh coconut meat,yes,~6.2g net carbs - 33g fat - MCT rich
fats_and_oils,avocado,yes,
fats_and_oils,tahini,yes,
fats_and_oils,sesame oil,yes,small finishing amounts only
fats_and_oils,sunflower oil,no,
fats_and_oils,vegetable oil,no,
fats_and_oils,canola oil,no,
fats_and_oils,any refined seed oils,no,
vegetables,all leafy greens,yes,freely
vegetables,spinach,yes,freely
vegetables,kale,yes,freely
vegetables,chard,yes,freely
vegetables,cabbage,yes,freely
vegetables,zucchini,yes,freely
vegetables,cauliflower,yes,freely
vegetables,broccoli,yes,freely
vegetables,cucumber,yes,freely
vegetables,capsicum,yes,freely
vegetables,green beans,yes,freely - 3-4g net carbs per 100g
vegetables,asparagus,yes,freely
vegetables,brussels sprouts,yes,~5g net carbs per 100g - moderate portions
vegetables,celery,yes,freely - ~1.4g net carbs per 100g
vegetables,pumpkin,yes,~3.8g net carbs per 100g - moderate portions
vegetables,bok choy (pak choi),yes,freely - ~1.2g net carbs per 100g
vegetables,bean sprouts,yes,~4g net carbs per 100g - moderate portions
vegetables,kabocha / Thai pumpkin (fak thong),caution,~10g net carbs per 100g cooked - small portions only
vegetables,morning glory (water spinach),yes,freely - ~1g net carbs - common Thai green
