category,food,status,notes
proteins,eggs,yes,
proteins,salmon,yes,prioritize omega-3 rich varieties
proteins,mackerel,yes,prioritize omega-3 rich varieties
proteins,sardines,yes,prioritize omega-3 rich varieties
proteins,basa fish,yes,
proteins,other fatty fish,yes,
proteins,buffalo/buff meat,yes,leaner than beef - permitted under Herbst (as exception) and keto-for-lipedema positions
proteins,goat / chevon (lean cuts),yes,practical Nepal red-meat choice - permitted under keto-for-lipedema framing; diverges from Herbst baseline (see rad.md Protein choices)
proteins,chicken and poultry,yes,
proteins,homemade buffalo milk paneer,yes,preferred - A2 buffalo milk
proteins,tofu and tofu skins,yes,monitor phytoestrogen response
proteins,tempeh,yes,preferred over tofu - fermented
proteins,pea-brown rice protein powder,yes,
proteins,clean natural sausage,yes,occasionally - check ingredients
proteins,beef (lean cuts),caution,contested - Herbst avoids red meat; keto-for-lipedema literature permits lean cuts in moderation. See rad.md Protein choices.
proteins,pork (lean cuts),caution,same stance as beef - lean loin/tenderloin only; processed pork (bacon/ham) is a firm no.
proteins,whey protein,caution,insulinogenic and contains IGF-1 - replace with pea protein
proteins,processed meats with sodium nitrate,caution,pro-inflammatory - cross-camp consensus: cured/nitrated/smoked meats are out
proteins,heavily processed meats with long additive lists,no,cross-camp consensus - see rad.md Protein choices
proteins,meats in sugar-heavy marinades,no,sugar load violates the low-GI rule regardless of protein source
dairy,buffalo milk kefir,yes,preferred - fermented and A2
dairy,buffalo milk yoghurt,yes,preferred - fermented and A2
dairy,yak cheese,yes,A2 milk - high omega-3
dairy,homemade buffalo milk paneer,yes,A2 - preferred form of paneer
dairy,hard aged cheeses,yes,fermentation reduces problematic casein
dairy,butter (local),yes,likely A2 source cattle
dairy,goat or sheep dairy,yes,naturally A2
dairy,heavy cream,yes,small amounts
dairy,full fat yoghurt (buffalo preferred),yes,
dairy,commercial cow dairy,caution,possible A1 casein from crossbred herds in Nepal
dairy,fresh unfermented cow milk cheese,caution,higher A1 casein
dairy,large amounts of straight milk,caution,
dairy,low fat dairy anything,no,
dairy,flavored yoghurts with added sugar,no,
dairy,commercial cow milk as primary drink,no,
fats_and_oils,olive oil,yes,primary cooking and dressing oil
fats_and_oils,avocado oil,yes,
fats_and_oils,butter (local),yes,
fats_and_oils,coconut oil,yes,
fats_and_oils,avocado,yes,
fats_and_oils,tahini,yes,
fats_and_oils,sesame oil,yes,small finishing amounts only - omega-6 concern
fats_and_oils,sunflower oil,no,pro-inflammatory omega-6
fats_and_oils,vegetable oil,no,pro-inflammatory omega-6
fats_and_oils,canola oil,no,
fats_and_oils,any refined seed oils,no,pro-inflammatory
vegetables,all leafy greens,yes,freely
vegetables,spinach,yes,freely
vegetables,kale,yes,freely
vegetables,chard,yes,freely - good magnesium source
vegetables,cabbage,yes,freely
vegetables,zucchini,yes,freely
vegetables,cauliflower,yes,freely
vegetables,broccoli,yes,freely
vegetables,cucumber,yes,freely
vegetables,capsicum,yes,freely
vegetables,green beans,yes,freely - behaves as vegetable
vegetables,asparagus,yes,freely
vegetables,mushrooms (all varieties),yes,freely - beta-glucans support lymphatic function
vegetables,oyster mushrooms,yes,freely - high beta-glucan
