slug,name,category,frequency,description,rationale,sort_order
trf_window,Time-restricted feeding (16:8),other,daily,"Compress eating to an 8-hour window (e.g. 12:00-20:00). Water, salt water, black coffee, plain tea allowed outside window.","Extends the period of low insulin each day, deepening ketosis and improving metabolic flexibility. Easy on keto because hunger drops.",10
extended_fast,Extended fast (24-72h),other,as_needed,"Periodic longer fast - one 24h every 2-4 weeks, optional 48-72h once per quarter if well adapted.","Clears glycogen completely, amplifies autophagy, breaks weight-loss plateaus. Not essential but a high-leverage tool once fat-adapted.",20
post_meal_walk,Post-meal walk,movement,daily,"10-20 min slow walk after the largest meal of the day.","Muscle glucose uptake during light activity blunts post-meal glucose and insulin, preserving ketosis. Works even on non-keto days.",30
resistance_training,Resistance training,movement,weekly,"2-4 strength sessions per week. Compound lifts with adequate rest. Plug into the parakeet program.","Preserves (and can grow) lean mass during caloric deficit; improves insulin sensitivity; essential counterweight to low-carb muscle protein balance.",40
low_impact_cardio,Low-impact cardio (walking / cycling / swimming),movement,daily,"60+ minutes low-intensity zone-2 cardio daily, accumulated across the day.","Higher fat oxidation rate than high-intensity work; does not spike cortisol; safe on affected lipedema limbs (no running/jumping).",50
avoid_high_intensity,Skip high-intensity work weeks 1-4,movement,daily,"HIIT, heavy plyometrics, long hard intervals off the table during adaptation phase.","Glycogen-dependent; poorly tolerated until fat adaptation is complete. Impact also aggravates lipedema tissue.",60
sleep_hygiene,Sleep hygiene,sleep,daily,"7-9 hours, consistent schedule, cool dark room, no screens 1h pre-bed. Magnesium glycinate can help.","Sleep debt spikes insulin resistance and cortisol - both torpedo keto. Glymphatic/lymphatic clearance also peaks in deep sleep.",70
morning_sunlight,Morning sunlight exposure,sleep,daily,"5-15 min outside within first hour of waking, ideally without sunglasses.","Anchors circadian rhythm, improves night-time melatonin release, supports sleep quality that keto depends on.",80
cold_exposure,Cold exposure (optional),other,weekly,"Cold shower or cold dip 2-5 min, 2-3x/week. Not mandatory.","Activates brown adipose; modest cofactor for fat oxidation. Bigger anti-inflammatory lever than fat-loss lever.",90
stress_management,Stress management practice,stress,daily,"Meditation, breathwork, yoga, journaling - 10-20 min daily consistency over intensity.","Chronic cortisol elevation raises glucose via liver output and worsens insulin resistance - directly antagonises keto. Lipedema inflammation amplifies with stress too.",100
vagal_breathing,Diaphragmatic / vagal breathing,stress,daily,"5-10 min slow 4-7-8 or box breathing.","Parasympathetic activation; also massages the thoracic duct (main lymphatic return), overlapping RAD lymphatic benefit.",110
track_ketones,Track blood ketones (first 8 weeks),other,daily,"AM fasted BHB via finger-prick meter during fat-adaptation phase; taper off once stable in 0.5-3.0 range.","The only reliable ketosis signal. Urine strips stop working after 2-3 weeks; breath acetone meters are noisy. Finger-prick strips are the gold standard.",120
